,originalLocation,position,x,y,z
500,F-21-11,"168, 392, 1",168,392,1
501,F-21-12,"152, 392, 1",152,392,1
502,F-21-13,"136, 392, 1",136,392,1
508,F-22-11,"168, 450, 1",168,450,1
509,F-22-12,"152, 450, 1",152,450,1
510,F-22-13,"136, 450, 1",136,450,1
516,F-23-11,"118, 392, 1",118,392,1
517,F-23-12,"102, 392, 1",102,392,1
518,F-23-13,"86, 392, 1",86,392,1
524,F-24-11,"118, 450, 1",118,450,1
525,F-24-12,"102, 450, 1",102,450,1
526,F-24-13,"86, 450, 1",86,450,1
532,G-13-11,"368, 482, 1",368,482,1
533,G-13-12,"352, 482, 1",352,482,1
534,G-13-13,"336, 482, 1",336,482,1
540,G-15-11,"318, 482, 1",318,482,1
541,G-15-12,"302, 482, 1",302,482,1
542,G-15-13,"286, 482, 1",286,482,1
548,G-17-11,"268, 482, 1",268,482,1
549,G-17-12,"252, 482, 1",252,482,1
550,G-17-13,"236, 482, 1",236,482,1
556,G-19-11,"218, 482, 1",218,482,1
557,G-19-12,"202, 482, 1",202,482,1
558,G-19-13,"186, 482, 1",186,482,1
564,G-21-11,"168, 482, 1",168,482,1
565,G-21-12,"152, 482, 1",152,482,1
566,G-21-13,"136, 482, 1",136,482,1
572,G-23-11,"118, 482, 1",118,482,1
573,G-23-12,"102, 482, 1",102,482,1
574,G-23-13,"86, 482, 1",86,482,1
584,H-02-11,"666, 688, 1",666,688,1
585,H-02-12,"650, 688, 1",650,688,1
586,H-02-13,"634, 688, 1",634,688,1
592,H-04-11,"616, 688, 1",616,688,1
593,H-04-12,"600, 688, 1",600,688,1
594,H-04-13,"584, 688, 1",584,688,1
600,H-06-11,"566, 688, 1",566,688,1
601,H-06-12,"550, 688, 1",550,688,1
602,H-06-13,"534, 688, 1",534,688,1
608,H-08-11,"516, 688, 1",516,688,1
609,H-08-12,"500, 688, 1",500,688,1
610,H-08-13,"484, 688, 1",484,688,1
616,H-10-11,"466, 688, 1",466,688,1
617,H-10-12,"450, 688, 1",450,688,1
618,H-10-13,"434, 688, 1",434,688,1
624,H-14-11,"368, 540, 1",368,540,1
625,H-14-12,"352, 540, 1",352,540,1
626,H-14-13,"336, 540, 1",336,540,1
632,H-16-11,"318, 540, 1",318,540,1
633,H-16-12,"302, 540, 1",302,540,1
634,H-16-13,"286, 540, 1",286,540,1
640,H-18-11,"268, 540, 1",268,540,1
641,H-18-12,"252, 540, 1",252,540,1
642,H-18-13,"236, 540, 1",236,540,1
