,Location,XYZCOD,col_1_label,col_1_qty,col_2_label,col_2_qty,col_3_label,col_3_qty,col_4_label,col_4_qty,col_5_label,col_5_qty,col_6_label,col_6_qty,col_7_label,col_7_qty,col_8_label,col_8_qty,col_9_label,col_9_qty,col_10_label,col_10_qty,col_11_label,col_11_qty,col_12_label,col_12_qty,col_13_label,col_13_qty,col_14_label,col_14_qty,col_15_label,col_15_qty,col_16_label,col_16_qty,col_17_label,col_17_qty,col_18_label,col_18_qty
34,I-13-23,X,8D9SAW,9.0,8D9SAW,9.0,8D9SAW,9.0,8D9SAW,9.0,8D9SAW,9.0,8D9SAW,9.0,8D9SAW,9.0,8D9SAW,9.0,8D9SAW,9.0,8D9SAW,9.0,8D9SAW,9.0,8D9SAW,9.0,8D9SAW,9.0,8D9SAW,9.0,8D9SAW,9.0,8D9SAW,9.0,8D9SAW,9.0,8D9SAW,9.0
35,I-14-22,X,6M2FJM,9.0,6M2FJM,9.0,6M2FJM,9.0,6M2FJM,9.0,6M2FJM,9.0,6M2FJM,9.0,6M2FJM,9.0,6M2FJM,9.0,6M2FJM,9.0,6M2FJM,9.0,6M2FJM,9.0,6M2FJM,9.0,6M2FJM,9.0,6M2FJM,9.0,6M2FJM,9.0,6M2FJM,9.0,6M2FJM,9.0,6M2FJM,9.0
36,J-09-12,X,SMMRK3,12.0,SMMRK3,12.0,SMMRK3,12.0,SMMRK3,12.0,SMMRK3,12.0,SMMRK3,12.0,SMMRK3,12.0,SMMRK3,12.0,SMMRK3,12.0,SMMRK3,12.0,SMMRK3,12.0,SMMRK3,12.0,SMMRK3,12.0,SMMRK3,12.0,SMMRK3,12.0,SMMRK3,12.0,SMMRK3,12.0,SMMRK3,12.0
37,J-13-12,X,WRRW1W,8.5,WRRW1W,8.5,WRRW1W,8.5,WRRW1W,8.5,WRRW1W,8.5,WRRW1W,8.5,WRRW1W,8.5,WRRW1W,8.5,WRRW1W,8.5,WRRW1W,8.5,WRRW1W,8.5,WRRW1W,8.5,WRRW1W,8.5,WRRW1W,8.5,WRRW1W,8.5,WRRW1W,8.5,WRRW1W,8.5,WRRW1W,8.5
38,H-08-13,X,WRRW1W,8.0,WRRW1W,8.0,WRRW1W,8.0,WRRW1W,8.0,WRRW1W,8.0,WRRW1W,8.0,WRRW1W,8.0,WRRW1W,8.0,WRRW1W,8.0,WRRW1W,8.0,WRRW1W,8.0,WRRW1W,8.0,WRRW1W,8.0,WRRW1W,8.0,WRRW1W,8.0,WRRW1W,8.0,WRRW1W,8.0,WRRW1W,8.0
39,J-09-22,X,JEGRCL,9.0,JEGRCL,9.0,JEGRCL,9.0,JEGRCL,9.0,JEGRCL,9.0,JEGRCL,9.0,JEGRCL,9.0,JEGRCL,9.0,JEGRCL,9.0,JEGRCL,9.0,JEGRCL,9.0,JEGRCL,9.0,JEGRCL,9.0,JEGRCL,9.0,JEGRCL,9.0,JEGRCL,9.0,JEGRCL,9.0,JEGRCL,9.0
40,J-13-22,X,2T1DJM,10.0,2T1DJM,10.0,2T1DJM,10.0,2T1DJM,10.0,2T1DJM,10.0,2T1DJM,10.0,2T1DJM,10.0,2T1DJM,10.0,2T1DJM,10.0,2T1DJM,10.0,2T1DJM,10.0,2T1DJM,10.0,2T1DJM,10.0,2T1DJM,10.0,2T1DJM,10.0,2T1DJM,10.0,2T1DJM,10.0,2T1DJM,10.0
41,H-16-11,X,JEGRCL,10.0,JEGRCL,10.0,JEGRCL,10.0,JEGRCL,10.0,JEGRCL,10.0,JEGRCL,10.0,JEGRCL,10.0,JEGRCL,10.0,JEGRCL,10.0,JEGRCL,10.0,JEGRCL,10.0,JEGRCL,10.0,JEGRCL,10.0,JEGRCL,10.0,JEGRCL,10.0,JEGRCL,10.0,JEGRCL,10.0,JEGRCL,10.0
42,H-08-23,X,2T1DJM,11.0,2T1DJM,11.0,2T1DJM,11.0,2T1DJM,11.0,2T1DJM,11.0,2T1DJM,11.0,2T1DJM,11.0,2T1DJM,11.0,2T1DJM,11.0,2T1DJM,11.0,2T1DJM,11.0,2T1DJM,11.0,2T1DJM,11.0,2T1DJM,11.0,2T1DJM,11.0,2T1DJM,11.0,2T1DJM,11.0,2T1DJM,11.0
43,I-10-11,X,LXJQVG,10.0,LXJQVG,10.0,LXJQVG,10.0,LXJQVG,10.0,LXJQVG,10.0,LXJQVG,10.0,LXJQVG,10.0,LXJQVG,10.0,LXJQVG,10.0,LXJQVG,10.0,LXJQVG,10.0,LXJQVG,10.0,LXJQVG,10.0,LXJQVG,10.0,LXJQVG,10.0,LXJQVG,10.0,LXJQVG,10.0,LXJQVG,10.0
44,I-14-13,X,U95NWB,12.0,U95NWB,12.0,U95NWB,12.0,U95NWB,12.0,U95NWB,12.0,U95NWB,12.0,U95NWB,12.0,U95NWB,12.0,U95NWB,12.0,U95NWB,12.0,U95NWB,12.0,U95NWB,12.0,U95NWB,12.0,U95NWB,12.0,U95NWB,12.0,U95NWB,12.0,U95NWB,12.0,U95NWB,12.0
45,H-16-21,X,SMMRK3,9.5,SMMRK3,9.5,SMMRK3,9.5,SMMRK3,9.5,SMMRK3,9.5,SMMRK3,9.5,SMMRK3,9.5,SMMRK3,9.5,SMMRK3,9.5,SMMRK3,9.5,SMMRK3,9.5,SMMRK3,9.5,SMMRK3,9.5,SMMRK3,9.5,SMMRK3,9.5,SMMRK3,9.5,SMMRK3,9.5,SMMRK3,9.5
46,I-07-13,X,8D9SAW,9.5,8D9SAW,9.5,8D9SAW,9.5,8D9SAW,9.5,8D9SAW,9.5,8D9SAW,9.5,8D9SAW,9.5,8D9SAW,9.5,8D9SAW,9.5,8D9SAW,9.5,8D9SAW,9.5,8D9SAW,9.5,8D9SAW,9.5,8D9SAW,9.5,8D9SAW,9.5,8D9SAW,9.5,8D9SAW,9.5,8D9SAW,9.5
47,I-10-21,X,8D9SAW,10.5,8D9SAW,10.5,8D9SAW,10.5,8D9SAW,10.5,8D9SAW,10.5,8D9SAW,10.5,8D9SAW,10.5,8D9SAW,10.5,8D9SAW,10.5,8D9SAW,10.5,8D9SAW,10.5,8D9SAW,10.5,8D9SAW,10.5,8D9SAW,10.5,8D9SAW,10.5,8D9SAW,10.5,8D9SAW,10.5,8D9SAW,10.5
48,I-14-23,X,8D9SAW,11.0,8D9SAW,11.0,8D9SAW,11.0,8D9SAW,11.0,8D9SAW,11.0,8D9SAW,11.0,8D9SAW,11.0,8D9SAW,11.0,8D9SAW,11.0,8D9SAW,11.0,8D9SAW,11.0,8D9SAW,11.0,8D9SAW,11.0,8D9SAW,11.0,8D9SAW,11.0,8D9SAW,11.0,8D9SAW,11.0,8D9SAW,11.0
49,I-15-11,X,KUFVRI,11.0,KUFVRI,11.0,KUFVRI,11.0,KUFVRI,11.0,KUFVRI,11.0,KUFVRI,11.0,KUFVRI,11.0,KUFVRI,11.0,KUFVRI,11.0,KUFVRI,11.0,KUFVRI,11.0,KUFVRI,11.0,KUFVRI,11.0,KUFVRI,11.0,KUFVRI,11.0,KUFVRI,11.0,KUFVRI,11.0,KUFVRI,11.0
50,I-07-23,X,I1KDJ0,8.0,I1KDJ0,8.0,I1KDJ0,8.0,I1KDJ0,8.0,I1KDJ0,8.0,I1KDJ0,8.0,I1KDJ0,8.0,I1KDJ0,8.0,I1KDJ0,8.0,I1KDJ0,8.0,I1KDJ0,8.0,I1KDJ0,8.0,I1KDJ0,8.0,I1KDJ0,8.0,I1KDJ0,8.0,I1KDJ0,8.0,I1KDJ0,8.0,I1KDJ0,8.0
51,J-09-11,X,AHR20O,10.0,AHR20O,10.0,AHR20O,10.0,AHR20O,10.0,AHR20O,10.0,AHR20O,10.0,AHR20O,10.0,AHR20O,10.0,AHR20O,10.0,AHR20O,10.0,AHR20O,10.0,AHR20O,10.0,AHR20O,10.0,AHR20O,10.0,AHR20O,10.0,AHR20O,10.0,AHR20O,10.0,AHR20O,10.0
